paper,model,peft,dataset,seed,strict_f1,accuracy,beta,lambda,train_min,gpu,source
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,123,0.8862,0.888,,,6.3,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,123,0.9021,0.904,,,8.8,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,42,0.8892,0.888,,,6.3,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,42,0.8888,0.888,,,9.0,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,456,0.9087,0.908,,,6.2,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,456,0.9182,0.918,,,9.2,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,77,0.9026,0.906,,,6.3,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,77,0.9172,0.92,,,9.1,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,999,0.7329,0.916,,,6.3,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,999,0.9195,0.92,,,9.2,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,oft,salad,123,0.7355,0.992,,,6.4,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,salad,314,1.0,1.0,,,9.3,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,oft,salad,42,0.4544,0.982,,,6.2,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,oft,salad,456,0.4995,0.984,,,6.3,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,salad,456,0.5582,0.494,,,9.1,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,lora,salad,628,0.7529,0.5,,,9.0,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,oft,salad,77,0.5545,0.984,,,6.2,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,salad,807,0.6667,0.994,,,9.1,NVIDIA GeForce RTX 4090,priority1
P14,Qwen2.5-0.5B-Instruct,oft,salad,999,0.5,0.984,,,6.3,NVIDIA GeForce RTX 4090,v2_extra
P14,Qwen2.5-0.5B-Instruct,lora,salad,999,0.75,0.494,,,9.2,NVIDIA GeForce RTX 4090,priority1
P15,Qwen2.5-0.5B-Instruct,sft,ag_news,123,0.8964,0.898,,,9.2,NVIDIA GeForce RTX 4090,p18_p15
P15,Qwen2.5-0.5B-Instruct,sft,ag_news,42,0.8814,0.88,,,9.3,NVIDIA GeForce RTX 4090,p18_p15
P15,Qwen2.5-0.5B-Instruct,sft,ag_news,456,0.9122,0.912,,,8.8,NVIDIA GeForce RTX 4090,p18_p15
P15,Qwen2.5-0.5B-Instruct,sft,ag_news,77,0.9217,0.924,,,9.0,NVIDIA GeForce RTX 4090,p18_p15
P15,Qwen2.5-0.5B-Instruct,sft,ag_news,999,0.9195,0.92,,,9.1,NVIDIA GeForce RTX 4090,p18_p15
P18_hold0,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,123,0.0,0.0,,,7.1,NVIDIA GeForce RTX 4090,p18_p15
P18_hold0,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,42,0.0,0.0,,,6.9,NVIDIA GeForce RTX 4090,p18_p15
P18_hold0,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,456,0.0,0.0,,,7.0,NVIDIA GeForce RTX 4090,p18_p15
P18_hold0,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,77,0.0,0.0,,,6.5,NVIDIA GeForce RTX 4090,p18_p15
P18_hold0,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,999,0.0,0.0,,,6.8,NVIDIA GeForce RTX 4090,p18_p15
P18_hold1,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,123,0.0,0.0,,,6.7,NVIDIA GeForce RTX 4090,p18_p15
P18_hold1,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,42,0.0,0.0,,,6.9,NVIDIA GeForce RTX 4090,p18_p15
P18_hold1,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,456,0.002,0.004,,,7.0,NVIDIA GeForce RTX 4090,p18_p15
P18_hold1,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,77,0.0,0.0,,,6.9,NVIDIA GeForce RTX 4090,p18_p15
P18_hold1,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,999,0.0,0.0,,,6.9,NVIDIA GeForce RTX 4090,p18_p15
P18_hold2,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,123,0.0,0.0,,,7.0,NVIDIA GeForce RTX 4090,p18_p15
P18_hold2,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,42,0.0,0.0,,,7.0,NVIDIA GeForce RTX 4090,p18_p15
P18_hold2,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,456,0.0,0.0,,,7.1,NVIDIA GeForce RTX 4090,p18_p15
P18_hold2,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,77,0.0,0.0,,,7.1,NVIDIA GeForce RTX 4090,p18_p15
P18_hold2,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,999,0.0,0.0,,,7.1,NVIDIA GeForce RTX 4090,p18_p15
P18_hold3,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,123,0.0,0.0,,,7.0,NVIDIA GeForce RTX 4090,p18_p15
P18_hold3,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,42,0.0,0.0,,,6.7,NVIDIA GeForce RTX 4090,p18_p15
P18_hold3,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,456,0.0,0.0,,,7.0,NVIDIA GeForce RTX 4090,p18_p15
P18_hold3,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,77,0.0,0.0,,,7.0,NVIDIA GeForce RTX 4090,p18_p15
P18_hold3,Qwen2.5-0.5B-Instruct,sft,ag_news_loo,999,0.0,0.0,,,6.5,NVIDIA GeForce RTX 4090,p18_p15
P20_P21,Qwen2.5-0.5B-Instruct,sft,salad,999,0.9095,0.91,,,,,kaggle-mar16
P22,Qwen2.5-0.5B-Instruct,sft,ag_news,123,0.9003,0.902,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,ag_news,42,0.8788,0.878,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,ag_news,456,0.9187,0.918,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,ag_news,77,0.9276,0.93,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,ag_news,999,0.9248,0.926,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,salad,123,1.0,1.0,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,salad,42,0.7529,0.5,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,salad,456,1.0,1.0,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,salad,77,0.7529,0.5,,,7.5,NVIDIA GeForce RTX 4090,p2
P22,Qwen2.5-0.5B-Instruct,sft,salad,999,0.752,0.498,,,7.5,NVIDIA GeForce RTX 4090,p2
P23_16bit,Qwen2.5-0.5B-Instruct,sft,ag_news,123,0.9021,0.904,,,7.3,NVIDIA GeForce RTX 4090,p2
P23_16bit,Qwen2.5-0.5B-Instruct,sft,ag_news,42,0.8888,0.888,,,7.2,NVIDIA GeForce RTX 4090,p2
P23_16bit,Qwen2.5-0.5B-Instruct,sft,ag_news,456,0.9182,0.918,,,7.2,NVIDIA GeForce RTX 4090,p2
P23_16bit,Qwen2.5-0.5B-Instruct,sft,ag_news,77,0.9172,0.92,,,7.2,NVIDIA GeForce RTX 4090,p2
P23_16bit,Qwen2.5-0.5B-Instruct,sft,ag_news,999,0.9195,0.92,,,7.4,NVIDIA GeForce RTX 4090,p2
P23_4bit,Qwen2.5-0.5B-Instruct,sft,ag_news,123,0.9002,0.902,,,9.8,NVIDIA GeForce RTX 4090,p2
P23_4bit,Qwen2.5-0.5B-Instruct,sft,ag_news,42,0.8914,0.89,,,9.9,NVIDIA GeForce RTX 4090,p2
P23_4bit,Qwen2.5-0.5B-Instruct,sft,ag_news,456,0.9205,0.92,,,10.4,NVIDIA GeForce RTX 4090,p2
P23_4bit,Qwen2.5-0.5B-Instruct,sft,ag_news,77,0.9129,0.916,,,9.8,NVIDIA GeForce RTX 4090,p2
P23_4bit,Qwen2.5-0.5B-Instruct,sft,ag_news,999,0.9154,0.916,,,9.8,NVIDIA GeForce RTX 4090,p2
P6,Qwen2.5-0.5B-Instruct,sft,salad_5k,123,1.0,1.0,,,9.3,NVIDIA GeForce RTX 4090,vastai-remaining
P6,Qwen2.5-0.5B-Instruct,sft,salad_5k,42,0.7529,0.5,,,9.1,NVIDIA GeForce RTX 4090,vastai-remaining
P6,Qwen2.5-0.5B-Instruct,sft,salad_5k,77,1.0,1.0,,,8.9,NVIDIA GeForce RTX 4090,vastai-remaining
P8,Qwen2.5-0.5B-Instruct,sft,ledgar,123,0.6203,0.784,,,9.0,NVIDIA GeForce RTX 4090,p8_ledgar
P8,Qwen2.5-0.5B-Instruct,sft,ledgar,42,0.6536,0.796,,,9.3,NVIDIA GeForce RTX 4090,p8_ledgar
P8,Qwen2.5-0.5B-Instruct,sft,ledgar,456,0.6171,0.771,,,9.3,NVIDIA GeForce RTX 4090,vastai-remaining
P8,Qwen2.5-0.5B-Instruct,sft,ledgar,77,0.579,0.788,,,9.3,NVIDIA GeForce RTX 4090,p8_ledgar
P8,Qwen2.5-0.5B-Instruct,sft,ledgar,999,0.6395,0.785,,,8.9,NVIDIA GeForce RTX 4090,vastai-remaining
P8,Qwen2.5-0.5B-Instruct,sft,salad,123,0.8984,0.9,,,,,kaggle-mar16
P8,Qwen2.5-0.5B-Instruct,sft,salad,42,0.8948,0.895,,,,,kaggle-mar16
P8,Qwen2.5-0.5B-Instruct,sft,salad,456,0.919,0.919,,,,,kaggle-mar16
P8,Qwen2.5-0.5B-Instruct,sft,salad,77,0.9178,0.919,,,,,kaggle-mar16
P8,Qwen2.5-0.5B-Instruct,sft,salad,999,0.9124,0.913,,,,,kaggle-mar16
P9_7B,Qwen2.5-7B-Instruct,lora,salad,123,1.0,1.0,,,37.1,NVIDIA GeForce RTX 4090,vastai-v2-final
P9_7B,Qwen2.5-7B-Instruct,lora,salad,42,1.0,1.0,,,37.0,NVIDIA GeForce RTX 4090,v2_extra
P9_7B,Qwen2.5-7B-Instruct,lora,salad,77,1.0,1.0,,,37.1,NVIDIA GeForce RTX 4090,vastai-v2-final
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,123,0.75,0.99,0.01,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,123,0.75,0.99,0.05,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,123,0.75,0.99,0.1,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,123,0.7917,0.992,0.5,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,42,0.75,0.99,0.01,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,42,0.75,0.99,0.05,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,42,0.75,0.99,0.1,,0.9,NVIDIA GeForce RTX 4090,p9
