experiment,beta,seed,strict_f1,accuracy,errors,train_min,gpu,ts
P9_SFT,N/A,42,0.7529,0.5,250,9.1,NVIDIA GeForce RTX 4090,2026-03-16T02:11:51.769494
P9_SFT,N/A,42,0.7529,0.5,250,9.1,NVIDIA GeForce RTX 4090,2026-03-16T03:03:45.584515
P9_DPO,0.01,42,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T03:12:38.366128
P9_DPO,0.01,77,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T03:21:31.360492
P9_DPO,0.01,123,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T03:30:23.861072
P9_DPO,0.05,42,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T03:39:18.782160
P9_DPO,0.05,77,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T03:48:08.657611
P9_DPO,0.05,123,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T03:57:03.513567
P9_DPO,0.1,42,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T04:05:57.567328
P9_DPO,0.1,77,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T04:14:57.952847
P9_DPO,0.1,123,0.75,0.99,5,0.9,NVIDIA GeForce RTX 4090,2026-03-16T04:23:50.215722
P9_DPO,0.5,42,0.8214,0.994,3,0.9,NVIDIA GeForce RTX 4090,2026-03-16T04:32:44.604902
P9_DPO,0.5,77,1.0,1.0,0,0.9,NVIDIA GeForce RTX 4090,2026-03-16T04:41:40.540377
P9_DPO,0.5,123,0.7917,0.992,4,0.9,NVIDIA GeForce RTX 4090,2026-03-16T04:50:24.778735
