paper,model,peft,dataset,seed,strict_f1,accuracy,train_min,params,use_4bit,gpu,ts
P14,Qwen2.5-0.5B-Instruct,lora,salad,456,0.5582,0.494,8.8,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T05:48:19.114891
P14,Qwen2.5-0.5B-Instruct,lora,salad,456,0.5582,0.494,9.3,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T07:03:57.883803
P14,Qwen2.5-0.5B-Instruct,lora,salad,456,0.5582,0.494,9.1,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T08:32:13.318843
P14,Qwen2.5-0.5B-Instruct,lora,salad,999,0.75,0.494,9.2,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T08:51:44.193797
P14,Qwen2.5-0.5B-Instruct,lora,salad,314,1.0,1.0,9.3,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T09:11:08.261923
P14,Qwen2.5-0.5B-Instruct,lora,salad,628,0.7529,0.5,9.0,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T09:30:23.423011
P14,Qwen2.5-0.5B-Instruct,lora,salad,807,0.6667,0.994,9.1,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T09:49:32.562183
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,42,0.8888,0.888,9.0,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T09:59:41.548297
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,77,0.9172,0.92,9.1,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T10:09:52.858326
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,123,0.9021,0.904,8.8,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T10:19:46.256764
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,456,0.9182,0.918,9.2,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T10:30:06.405512
P14,Qwen2.5-0.5B-Instruct,lora,ag_news,999,0.9195,0.92,9.2,35192832,False,NVIDIA GeForce RTX 4090,2026-03-16T10:40:20.916690
